step,epoch,train/loss_step
49,0,1.6394389867782593
99,0,1.6238499879837036
149,0,1.5150721073150635
199,0,1.7693113088607788
249,0,1.688019871711731
299,0,1.6414432525634766
349,0,1.7166475057601929
399,0,1.7085027694702148
449,0,1.631113886833191
499,0,1.6445510387420654
549,0,1.6362131834030151
599,0,1.4597694873809814
649,0,1.5057494640350342
699,0,1.6928119659423828
749,0,1.6025419235229492
799,0,1.6204092502593994
849,0,1.7371882200241089
899,0,1.604188084602356
949,0,1.5589845180511475
999,0,1.6030550003051758
